"landgrabbed","landgrabber","base","sector","hectares","production","year","status"
"Argentina","Adecoagro","US","Agribusiness",242000,"Cattle, dairy, grains, soybeans","0","Done"
"Uruguay","Adecoagro","US","Agribusiness",8600,"Cattle, grains, soybeans","0","Done"
"Algeria","Al Qudra","UAE","real estate, Finance",31000,"Milk, olive oil, potatoes","17","Done"
"New Zealand","Ingleby Company","Denmark","Finance",14461,"Cattle, sheep","1901","Done"
"Australia","Ho Myoung Farm","South Korea","Industrial",216000,"Cattle, goats, sheep","1999","Done"
"Australia","JBS","Brazil","AB",1876,"Livestock","1999","Done"
"Australia","Terra Firma Capital","UK","Finance",3200000,"Livestock","1999","Done"
"Australia","Hassad Food","Qatar","Agribusiness",750000,"Sheep, wheat","1999","Done"
"Australia","Wilmar International","Singapore","AB",2500,"Sugar cane","1999","Done"
"Brazil","Aquila","Germany","Finance",250000,"Cattle, sugar cane","2000","In Process"
"Colombia","China","China","Government",4e+05,"Cereals","2000","Proposed"
"Ethiopia","BHO Agro","India","Agribusiness",27000,"Cereal, oilseeds, pulses","2000","Done"
"Russia","EkoSem-Agrar","Gemany","Agribusiness",170000,"Cereal crops, fodder, potatoes, rape; other crops","2000","Done"
"Angola","AfriAgro","Portugal","Finance, real estate",5000,"Oil palm","2012","Done"
"Australia","Chinese interests","China",NA,2800,"Cattle","2012","Done"
"Australia","Shaanxi Kingbull Livestock Co","China","Agribusiness",5000,"Cattle","2012","In Process"
"Australia","Ingleby Company","Denmark","Finance",18170,"Cattle, crops, sheep","2012","Done"
"Australia","Southern Agricultural Resources","UK","Finance",1e+05,"Cotton, wheat","2012","In Process"
"Aus","Teachers Insurance and Annuity Association - College Retirement Equities Fund (TIAA-CREF)","US","Fin",73000,NA,"2012","Done"
"Brazil","Adecoagro","US","Agribusiness",165000,"Cattle, cofee, grains, soybeans, sugar cane","2012","Done"
"Brazil","Pengxin Group","China","Real estate",2e+05,"Cotton, soybean","2012","In Process"
"Brazil","Galtere","US","Finance",25000,"Rice, soybeans","2012","Done"
"Cambodia","KomerCN","South Korea","Agribusiness",13000,"Maize","2012","In Process"
"China","Temasek","Singapore","Finance",145000,"Barley, flowers, fruits, ginseng, maize, oats, pork, rice, rye, soybeans, vegetables, wheat","2012","Done"
"Colombia","Grupo Poligrow","Spain","Finance",60000,"Oil palm","2012","Done"
"Colombia","Merhav Group","Israel","Construction, finance",10000,"Sugar cane","2012","Done"
"Congo-Brazzaville","Atama Plantation","Malaysia","Agribusiness",470000,"Oil palm","2012","Done"
"Congo-Brazzaville","ENI","Italy","Energy",70000,"Oil palm","2012","MoU Signed"
"Ethiopia","Acazis AG","Germany","Agribusiness",56000,"Castor crop, peanuts, vegetable oil","2012","Done"
"Ethiopia","Confederation of Potato Seed Farmers","India","Agribusiness",50000,"Maize, oilseeds, pulses, sugar cane","2012","In Process"
"Ethiopia","FRI-EL Green","Italy","Energy",30000,"Oil palm","2012","Done"
"Ghana","Africa Atlantic Holdings","UAE","Agribusiness",10000,"Maize","2012","Done"
"Indonesia","Agro Enerpia Indonesia","South Korea","Agribusiness",10000,"Maize","2012","In Process"
"Indonesia","Daewoo Logistic Indonesia / Cheil Jedang Samsung","South Korea","Industrial",24000,"Maize","2012","In Process"
"Indonesia","Chinese investors","China",NA,1000,"Rice","2012","In Process"
"Indonesia","Wilmar International","Singapore","Agribusiness",2e+05,"Sugar cane","2012","Done"
"Jamaica","COMPLANT","China","Agribusiness, construction
",18000,"Sugar cane","2012","Done"
"Laos","Kuwait","Kuwait","Government",2e+05,"Rice","2012","In Process"
"Laos","Mongolia","Mongolia","Government",10000,"Rice and other crops","2012","In Process"
"Liberia","Sime Darby","Malaysia","Agribusiness",220000,"Oil palm","2012","Done"
"Liberia","SIFCA","Côte d'Ivoire","Agribusiness",8800,"Oil palm","2012","Done"
"Liberia","Dominion Farms","US","Agribusiness",17000,"Rice and other crops","2012","Done"
"Lithuania","Germanagrar","Germany","Real estate",1100,"Cattle and crops
Speculation","2012","Done"
"Madagascar","Landmark","India","Agribusiness",150000,"Maize","2012","Done"
"Mozambique","Agriterra","UK","Agribusiness",16700,"Cattle","2012","Done"
"Mozambique","Mauritius","Mauritius","Government",23500,"Rice, crops","2012","Done"
"Mozambique","Quifel Natural Resources","Portugal","Agribusiness, energy",10000,"Sesame, soybeans, sunflower seed","2012","Done"
"Mozambique","Companhia do Búzi","Portugal","Agribusiness",6214,"Sugar cane","2012","In Process"
"Mozambique","Tata Chemicals","India","Industrial",24000,"Sugar cane","2012","Done"
"New Zealand","Reda Holding","Italy","Industrial",16666,"Sheep","2012","Done"
"New Zealand","Soho Property Limited","UK","Real estate",22000,"Sheep","2012","Done"
"New Zealand","Middle Mount Forest","Switzerland","Finance",3200,"Sheep, cattle","2012","Done"
"New Zealand","Christian Welte","Switzerland","Finance",8481,"Sheep, cattle, forest","2012","Done"
"Nigeria","Vietnamese investors","Vietnam",NA,4000,"Rice","2012","Done"
"Pakistan","Al Dahra","UAE","Agribusiness",10100,"Rice","2012","Done"
"Peru","Maple Energy","US","Energy",13500,"Sugar cane","2012","Done"
"Philippines","Zuellig Group","Malaysia","Agribusiness, health care",30000,"Maize","2012","In Process"
"Philippines","Jeonnam Feedstock","South Korea","Government",94000,"Maize","2012","Done"
"Philippines","Brunei Investment Authority","Brunei","Government",10000,"Rice","2012","Proposed"
"Philippines","Oman","Oman","Government",10000,"Rice","2012","In Process"
"Philippines","Qatar","Qatar","Government",1e+05,"Rice","2012","In Process"
"Romania","Germanagrar","Germany","Real estate",8000,"Cattle, crops","2012","Done"
"Senegal","Foras International Investment Co","Saudi Arabia","Finance",5000,"Rice, poultry","2012","In Process"
"Senegal","Datong Trading Enterprise","China","Agribusiness",60000,"Sesame","2012","Done"
"Sierra Leone","COMPLANT","China","Agribusiness, construction
",8100,"Cassava, sugar cane","2012","Done"
"Sierra Leone","Goldtree Holdings","Mauritius","Agribusiness",5200,"Oil palm","2012","Done"
"Sierra Leone","FELDA","Malaysia","Government",2500,"Palm oil","2012","Done"
"Sierra Leone","GreenWorld BVI","UK","Finance",1250,"Rice","2012","Done"
"South Sudan","Egypt","Egypt","Government",16800,"Rice","2012","In Process"
"Sudan","Pinosso Group","Brazil","Agribusiness",1e+05,"Cotton, soybeans","2012","Done"
"Sudan","UAE investor","UAE",NA,38400,NA,"2012","Done"
"Sudan","Hassad Food","Qatar","Agribusiness",1e+05,NA,"2012","Done"
"Tanzania","Pharos Financial Group","UAE","Finance",50000,"Rice","2012","In Process"
"Tanzania","Agrica","UK","Finance",5818,"Rice","2012","Done"
"Tanzania","Chongqing Seed Corp","China","Agribusiness",300,"Rice seeds","2012","Done"
"Tanzania","Yes Bank","India","Finance",50000,"Rice, wheat","2012","In Process"
"Tanzania","Nirmal Seeds","India","Agribusiness",30000,"Seeds","2012","In Process"
"United States","Ingleby Company","Denmark","Finance",20110,"Barley, cattle, maize, soybeans, wheat","2012","Done"
"Zambia","AG-ZAM","South Africa","Agribusiness",15000,"Sugar cane","2012","Done"
"Argentina","Ingleby Company","Denmark","Finance",12433,"Barley, maize, soybeans, sunflower, wheat","2013","Done"
"Argentina","Korean Overseas Development Corporation","South Korea","Government",20894,"Forest and pasture","2013","Done"
"Brazil","Fonterra","New Zealand","Agribusiness",850,"Dairy farm","2013","Done"
"Bulgaria","Winslow Group JSC","UK","Agribusiness",3500,"Barley, maize, rape, sunflower, wheat","2013","Done"
"Egypt","Jenaan","UAE","Agribusiness",20000,"Dill, maize, potatoes, wheat","2013","Done"
"Egypt","Jenat","Saudi Arabia","Agribusiness",10000,"Feed, wheat","2013","Done"
"Egypt","Al Rajhi International Investment Company","Saudi Arabia","Agribusiness, finance",52500,"Feed, wheat","2013","Done"
"Egypt","Al Dahra","UAE","Agribusiness",48500,"Fodder","2013","Done"
"Ethiopia","Shapoorji Pallonji and Co. (S & P Co.)","India","Construction",50000,"Food crops, pongamia pinnata
","2013","Done"
"Ethiopia","AfricaJUICE","Dutch","Agribusiness",1200,"Fruit","2013","Done"
"Gambia, The","Mercatalonia","Spain","Agribusiness",2e+05,"Fodder, maize, palm oil, rice, soybeans, sugar cane","2013","Done"
"Ghana","Bionic Palm Limited","Germany","Energy",3940,"Biofuel and food crops","2013","Done"
"Ghana","Qatar","Qatar","Government",50000,"Food crops","2013","In Process"
"Ghana","Jose García-Carrion","Spain","Agribusiness",10000,"Fruit","2013","Done"
"Indonesia","Minerals Energy Commodities Holding","UAE","Mining",1e+05,"Fruit, palm oil, rice, sugar cane","2013","In Process"
"Madagascar","Madabeef","UK","Agribusiness",2e+05,"Beef cattle","2013","Done"
"Malawi","Djibouti","Djibouti","Government",55000,"Food crops","2013","In Process"
"Namibia","Al Dahra","UAE","Agribusiness",200,"Date palm","2013","Done"
"Namibia","Caparo group","UK","Industrial",30000,"Fruit, grains, herbs, nuts, pasture, vegetables","2013","Done"
"New Zealand","Pengxin Group","China","Real estate",8615,"Dairy farms","2013","Done"
"Niger","Bin Taleb Group/Al Tamini Khaled Alhil","Saudi Arabia","Agribusiness, industrial",15922,"Ecotourism, irrigate crops
","2013","Suspended"
"Romania","Prio Foods","Portugal","Agribusiness",25244,"Barley, maize, sunflower, wheat","2013","Done"
"Russia","RAV Agro-Pro","Czech Republic","Finance",164000,"Barley, potatoes, sugar beet, sunflowers, wheat","2013","Done"
"Russia","Sucres & Denrée","France","Agribusiness",61000,"Barley, sugar beet","2013","Done"
"Russia","Black Earth Farming","Sweden","Agribusiness",326000,"Barley, wheat","2013","Done"
"Tanzania","AgriSol","US","Agribusiness",325000,"Beef, biofuels, crops, poultry","2013","Done"
"Uganda","Icemark","Iceland","Agribusiness",270,"Fruit","2013","Done"
"United States","Hebei Company","China","Agribusiness",540,"Fruit, livestock, maize, rice, vegetables, wheat","2013","In Process"
"Ukraine","Grain Alliance","US","Agribusiness",40000,"Barley, maize, soybeans, sunflowers, wheat","2013","Done"
"Zambia","Export Trading Group","Singapore","Agribusiness",57000,"Food crops, jatropha","2013","Done"
"Zambia","Menafea Holding","Saudi Arabia","Agribusiness, finance, real estate",5000,"Fruit","2013","Done"
NA,"Hancock","Canada","Finance",2430,"Grapes, nuts","2014","Complete"
"Angola","Eurico Ferreira","Portugal","Energy, telecommunications
",30000,"Sugarcane","2014","Done"
"Argentina","AgroGeneration","France","Agribusiness",1700,"Crops","2014","Done"
"Argentina","Al-Khorayef Group","Saudi Arabia","Agribusiness",2e+05,"Crops","2014","Done"
"Australia","Black River Asset Management","US","Finance",2100,"Grain","2014","Complete"
"Australia","Count Gustav Wachmeister","Sweden","Finance",15700,"livestock, cereal","2014","Done"
"Australia","Nanshan Group","China","Industrial, real estate
",30000,"Superfine wool","2014","In Process"
"Australia","JPT Capital Agrifund","Mauritius","Finance",33000,"Wheat","2014","Done"
"Australia","Jim Rogers Fund","US","Finance",80000,NA,"2014","In Process"
"AUS","Alberta Investment Management Company","Canada","Finance",252000,NA,"2014","Done"
"Benin","Green Waves","Italy","Finance",250000,"Sunflower","2014","Done"
"Brazil","Sollus Capital","US","Agribusiness",35000,"Crops","2014","Done"
"Cambodia","Nagathom Fund","Cayman Islands","Finance",2200,"Fruit, rice, vegetables","2014","Done"
"Cameroon","Sosucam","France","Agribusiness",11980,"Sugarcane","2014","Done"
"Congo-Brazzaville","Congo Agriculture","South Africa","Agribusiness",80000,"Livestock, rice, vegetables","2014","Done"
"Ethiopia","Al Amoudi","Saudi Arabia","Finance",140000,"Livestock, maize, oilseeds, rice, sugar cane, teff","2014","Done"
"Ethiopia","Romton Agri PLC","India","Agribusiness",10000,"Tomato farming","2014","Done"
"Ethiopia","Djibouti","Djibouti","Government",5000,"Wheat","2014","Done"
"Gabon","Olam International","Singapore","Agribusiness",3e+05,"Palm oil","2014","Done"
"Hungry","Germanagrar","Germany","Real estate",11300,"Wheat","2014","Done"
"Lithuania","KTG Agrar AG","Germany","Agribusiness",7000,"Crops","2014","Done"
"Mali","UEMOA","West Africa","Government",11288,"Fruit, rice, vegetables","2014","Done"
"Mali","Agro-énergie Développement","France","Agribusiness",2605,"Sunflower","2014","In Process"
"Mozambique","Emvest","UK","Finance",3500,"Cereals, oilseeds","2014","Done"
"Mozambique","SEKAB","Sweden","Energy",15000,"Sweet sorghum","2014","Done"
"Namibia","Dem-Inter International","UK","Agribusiness",10000,"Canola, maize, rice, wheat","2014","Done"
"Pakistan","China Green","China","Agribusiness",4000,"Fruit, vegetables","2014","In Process"
"Pakistan","Saudi Arabia","Saudi Arabia","Government",202400,"Fruit, vegetables, wheat","2014","In Process"
"Philippines","China","China","Government",1280000,"Various","2014","Suspended"
"Poland","Rolnyvik","Sweden","Agribusiness",6705,"Crops","2014","Done"
"Poland","Rabobank","Netherlands","Finance",NA,NA,"2014","Done"
"Romania","Rabobank","Netherlands","Finance",NA,NA,"2014","Done"
"Russia","Insight Energy AB","Sweden","Energy
",180000,"Grain, dairy, livestock","2014","Done"
"Russia","Bonduelle","France","Agribusiness",6000,"vegetables (beans, maize, sweet peas)","2014","Done"
"Senegal","China","China","Government",1e+05,"Peanuts","2014","In Process"
"Senegal","Tempieri Financial Group","Italy","Finance",20000,"Sunflowers, sweet potatoes","2014","Suspended"
"Sudan","Al Dahra","UAE","Agribusiness",34800,"Barley, cotton, hay, maize, sugar cane, sunflowers, wheat","2014","Done"
"Sudan","Foras International Investment Co","Saudi Arabia","Finance",126000,"Cereals","2014","Done"
"Sudan","South Korea","South Korea","Government",690000,"Wheat","2014","Done"
"Swaziland","Fuel Ethanol and Agricultural Plantation","South Africa","Agribusiness",15000,"Sweet sorghum","2014","In Process"
"Tanzania","CAMS Group","US","Construction",20000,"Sweet sorghum","2014","In Process"
"Ukraine","AgroGeneration","France","Agribusiness",51000,"Crops","2014","Done"
"Ukraine","Ukrainian Agrarian Investments","Russia","Agribusiness",250000,"Crops","2014","Done"
"United States","Kyiv-Atlantic Ukraine","US","Agribusiness",10000,"Crops","2014","Done"
"Ukraine","Bärnstädt eG","Germany","Agribusiness",8000,"Hops, maize, oilseed rape, sugar beet, wheat, wine, winter barley","2014","Done"
"Ukraine","Sustainable Bio Energy Holding GmbH","Germany","Agribusiness",11600,"Rapeseed, soybeans, wheat","2014","Done"
"Ukraine","Alpcot Agro","Sweden","Agribusiness",92500,"Wheat","2014","Done"
"US","Ingleby Company","Denmark","Finance",1427,"Pistachios","2014","Done"
"Zambia","Neha International","India","Agribusiness",1e+05,"Crops","2014","Done"
"Angola","ENI",NA,"Energy",12000,"Oil palm","2015","In Process"
"Angola","Quifel Natural Resources","Portugal","Agribusiness,,, energy",10000,"Oilseed","2015","Done"
"Argentina","Terra Magna Capital","Fran","Finance",70500,"Crops","2015","Done"
"Argentina","DWS GALOF","Germany","Finance",20000,"Crops","2015","Done"
"Argentina","Calyx Agro","France","Finance",5719,"Crops (mainly soybean)","2015","Done"
"Arg","Siva Group","Singapore","Agribusiness",2000,"Olives","2015","Done"
"Australia","DWS GALOF","Germany","Finance",27000,"crops","2015","Done"
"Benin","Chinese investment group","China",NA,10000,"Oil palm","2015","In Process"
"Brazil","Brookfield Asset Management","Canada","Finance",97124,"Crops","2015","Done"
"Brazil","Black River Asset Management","US","Finance",50000,"Crops","2015","Done"
"Brazil","Calyx Agro","France","Finance",61352,"Crops (mainly soybean)","2015","Done"
"Brazil","Archer Daniels Midland","UNITED STATES","Agribussiness",12000,"Oil palm","2015","In Process"
"Brazil","Clean Energy Brazil","UK","Agribusiness",30000,"Sugar cane","2015","Done"
"Brazil","Louis Dreyfus","France",NA,329000,"Sugar cane","2015","Done"
"Bulgaria","Ceres","Bulgaria","Finance",21400,"Crops","2015","Done"
"Bulgaria","World Bank","US","Finance",29409,"Crops","2015","Done"
"Cameroon","Herakles Capital","US","Finance",73000,"Oil palm","2015","Done"
"Congo-Brazzaville","FRI-EL Green","Italy","Agribusiness",44000,"Oil palm","2015","Done"
"Côte d'Ivoire","Wilmar International/Olam","Singapore","Agribusiness",47000,"Oil palm, sugar cane","2015","Done"
"Democratic Republic of the Congo","DWS GALOF","Germany","Finance",25000,"Crops","2015","Done"
"Democratic Republic of the Congo","ZTE","China","Telecommunications",1e+05,"Oil palm","2015","Done"
"Democratic Republic of the Congo","Feronia Inc.","Canada","Agribusiness",110000,"Oil palm, rice, soybeans","2015","Done"
"Ethiopia","Neha International","India","Agribusiness",4000,"Oil seeds, pulses, rice, wheat","2015","Done"
"Ethiopia","BDFC Ethiopia","US","Agribusiness",17400,"Sugar cane","2015","Done"
"Ethiopia","Chadha Agro Plc","India","Industrial",1e+05,"Sugar cane","2015","Done"
"Ethiopia","Almidha","India",NA,28000,"Sugar cane","2015","Done"
"Ghana","Wilmar International","Singapore","Agribusiness",6157,"Oil palm","2015","Done"
"Ghana","DOS Palm Oil Production Limited","UK","Agribusiness",3000,"Oil palm","2015","Done"
"Ghana","Symboil","Germany","Energy",13500,"Oil palm","2015","Done"
"Ghana","Herakles Capital","US","Finance",4364,"Oil palm","2015","Done"
"Indonesia","Noble Group","Singapore","Agribusiness",32500,"Oil palm","2015","Done"
"Indonesia","Bunge","US","Agribusiness
",25000,"Oil palm","2015","In Process"
"Lithuania","Agricultural Capital Partners","Ireland","Finance",582,"Crops","2015","Done"
"Madagascar","COMPLANT","China","Agribusiness, construction
",10000,"Sugar cane","2015","Done"
"Mali","Associated British Foods","UK","Agribusiness",17000,"Sugar cane","2015","Done"
"Mali","Lonrho","UK","Agribusiness",20000,"Sugar cane","2015","Done"
"Mozambique","MedEnergy","Italy","Energy",10000,"Oil palm","2015","In Process"
"Mozambique","Vale-Embrapa","Brazil","Mining",30000,"Oil palm","2015","In Process"
"Mozambique","Petro Buzi","Brazil","Energy",40000,"Sugar cane","2015","In Process"
"Mozambique","Principle Capital Holdings","UK","Finance",23000,"Sugar cane","2015","Done"
"Mozambique","Sabiol","Portugal",NA,29000,"Sugar cane","2015","Done"
"Nigeria","FRI-EL Green","Italy","Energy",11292,"Oil palm","2015","Done"
"Pakistan","Emirates Investment Group","UAE","Finance",35000,"Crops, dairy","2015","In Process"
"Papua New Guinea","Far East Holdings Berhad","Malaysia","Agribusiness",140000,"Oil palm","2015","Done"
"Papua New Guinea","Kulim","Malaysia","Agribusiness",25000,"Oil palm","2015","Done"
"Papua New Guinea","Mekeo Hinterland Holdings","Malaysia","Agribusiness",116400,"Oil palm","2015","Done"
"Peru","Ecoamerica","South Korea","Agribusiness",72000,"Crops, forstry, livestock","2015","In Process"
"Philippines","A. Brown Company","US","Agribusiness, real estate",20000,"Oil palm","2015","In Process"
